day_of_week,is_weekend,month,menu_category,is_festival,festival_type,is_poya_day,temperature_avg,rainfall_mm,is_heavy_rain,supplier_invoice_qty,daily_demand_qty
6,0,1,4,0,2,0,30.9,0.3,0,129,119
6,0,1,3,0,2,0,32.8,22.0,1,84,63
6,0,1,1,0,2,0,29.8,4.9,0,190,140
4,0,1,3,0,2,0,28.6,1.9,0,195,148
4,0,1,1,0,2,0,32.4,3.6,0,115,91
4,0,1,2,0,2,0,26.6,6.0,0,133,117
4,0,1,4,0,2,0,27.7,1.6,0,146,111
4,0,1,0,0,2,0,28.8,3.4,0,99,72
0,0,1,4,0,2,0,32.8,0.2,0,100,71
0,0,1,3,0,2,0,26.8,4.2,0,80,70
0,0,1,1,0,2,0,27.7,2.0,0,192,138
0,0,1,2,0,2,0,29.7,2.3,0,137,96
0,0,1,0,0,2,0,32.5,10.1,0,115,96
2,1,1,0,0,2,0,27.9,0.8,0,169,162
2,1,1,2,0,2,0,32.3,0.2,0,91,103
2,1,1,4,0,2,0,26.4,2.0,0,103,106
2,1,1,3,0,2,0,32.8,3.0,0,184,167
2,1,1,1,0,2,0,28.1,21.9,1,133,115
3,1,1,3,0,2,0,27.6,1.2,0,180,204
3,1,1,1,0,2,0,32.9,4.8,0,96,89
3,1,1,2,0,2,0,28.9,3.7,0,191,170
3,1,1,4,0,2,0,32.4,6.9,0,161,155
3,1,1,0,0,2,0,30.1,10.1,0,89,100
1,0,1,0,0,2,0,27.9,0.2,0,85,74
1,0,1,3,0,2,0,32.1,0.2,0,198,159
1,0,1,1,0,2,0,31.4,2.6,0,190,140
1,0,1,2,0,2,0,30.2,1.9,0,165,150
1,0,1,4,0,2,0,30.0,0.3,0,184,148
5,0,1,0,0,2,0,26.3,1.3,0,118,102
5,0,1,4,0,2,0,30.2,1.0,0,192,171
5,0,1,1,0,2,0,31.4,11.6,0,153,122
5,0,1,3,0,2,0,29.7,5.5,0,82,69
5,0,1,2,0,2,0,27.7,0.9,0,80,75
6,0,2,0,0,2,0,30.3,15.7,0,129,109
6,0,2,3,0,2,0,29.6,5.9,0,129,118
6,0,2,1,0,2,0,29.9,3.3,0,173,155
6,0,2,2,0,2,0,30.1,2.6,0,102,91
6,0,2,4,0,2,0,30.3,4.9,0,130,120
4,0,2,2,0,2,0,30.4,7.9,0,84,76
4,0,2,4,0,2,0,29.2,7.4,0,96,73
4,0,2,3,0,2,0,28.7,2.3,0,142,125
4,0,2,1,0,2,0,29.8,2.4,0,158,126
4,0,2,0,0,2,0,29.2,15.7,0,132,104
0,0,2,0,0,2,0,30.2,1.0,0,100,74
0,0,2,2,0,2,0,30.9,0.8,0,83,65
0,0,2,4,0,2,0,32.3,2.6,0,172,162
0,0,2,1,0,2,0,26.9,0.5,0,174,139
0,0,2,3,0,2,0,27.5,3.5,0,154,111
2,1,2,3,0,2,0,28.0,0.8,0,100,100
2,1,2,1,0,2,0,29.7,1.8,0,125,119
2,1,2,2,0,2,0,29.5,4.7,0,152,132
2,1,2,4,0,2,0,29.4,4.7,0,135,149
2,1,2,0,0,2,0,32.4,0.3,0,105,116
3,1,2,3,0,2,0,26.6,3.6,0,131,118
3,1,2,1,0,2,0,28.6,2.7,0,169,180
3,1,2,2,0,2,0,29.7,5.1,0,105,89
3,1,2,4,0,2,0,27.8,5.0,0,190,208
3,1,2,0,0,2,0,31.2,0.1,0,97,94
1,0,2,0,0,2,0,26.6,3.1,0,113,95
1,0,2,4,0,2,0,29.3,1.8,0,184,152
1,0,2,2,0,2,0,28.3,0.5,0,96,75
1,0,2,1,0,2,0,27.3,3.3,0,96,72
1,0,2,3,0,2,0,29.7,1.1,0,168,149
5,0,2,3,0,2,0,30.1,3.3,0,121,93
5,0,2,1,0,2,0,28.5,4.2,0,177,135
5,0,2,2,0,2,0,29.5,1.6,0,112,79
5,0,2,4,0,2,0,27.6,1.8,0,191,141
5,0,2,0,0,2,0,27.3,1.3,0,174,124
6,0,2,3,0,2,0,31.9,0.2,0,110,88
6,0,2,1,0,2,0,32.9,0.5,0,145,122
6,0,2,2,0,2,0,32.4,0.0,0,197,151
6,0,2,4,0,2,0,27.2,4.4,0,136,120
6,0,2,0,0,2,0,29.7,2.6,0,124,111
4,0,2,0,0,2,0,26.9,0.3,0,123,92
4,0,2,4,0,2,0,28.2,3.6,0,85,67
4,0,2,1,0,2,0,31.2,3.0,0,80,68
4,0,2,3,0,2,0,27.3,1.6,0,98,73
4,0,2,2,0,2,0,28.0,3.5,0,90,84
0,0,2,3,0,2,0,30.8,0.4,0,142,124
0,0,2,1,0,2,0,31.3,3.6,0,103,88
0,0,2,2,0,2,0,31.6,0.5,0,148,134
0,0,2,4,0,2,0,32.8,0.5,0,199,189
0,0,2,0,0,2,0,27.4,1.9,0,80,71
2,1,2,4,0,2,0,28.2,3.5,0,97,105
2,1,2,2,0,2,0,31.7,4.4,0,105,117
2,1,2,0,0,2,0,29.1,1.9,0,130,134
2,1,2,3,0,2,0,30.0,7.4,0,151,164
2,1,2,1,0,2,0,31.3,6.4,0,114,101
3,1,2,3,0,2,0,29.8,2.3,0,176,160
3,1,2,1,0,2,0,32.3,1.9,0,157,135
3,1,2,2,0,2,0,27.6,3.1,0,149,167
3,1,2,4,0,2,0,30.4,1.6,0,143,127
3,1,2,0,0,2,0,32.2,2.7,0,173,192
1,0,2,0,0,2,0,28.8,6.4,0,84,69
1,0,2,3,0,2,0,31.5,0.7,0,176,154
1,0,2,1,0,2,0,31.5,0.6,0,147,124
1,0,2,2,0,2,0,31.3,8.4,0,176,128
1,0,2,4,0,2,0,29.8,1.9,0,188,138
5,0,2,2,0,2,1,31.8,12.8,0,183,155
5,0,2,4,0,2,1,28.8,2.5,0,125,107
5,0,2,3,0,2,1,28.9,5.9,0,106,91
5,0,2,1,0,2,1,30.9,3.1,0,122,104
5,0,2,0,0,2,1,32.4,0.6,0,161,137
6,0,2,0,0,2,1,26.9,1.1,0,169,154
6,0,2,2,0,2,1,27.1,3.4,0,88,71
6,0,2,4,0,2,1,31.2,10.9,0,165,153
6,0,2,1,0,2,1,32.4,6.2,0,116,102
6,0,2,3,0,2,1,26.1,8.2,0,155,112
4,0,2,3,0,2,0,26.9,10.1,0,142,110
4,0,2,1,0,2,0,27.6,3.7,0,126,90
4,0,2,2,0,2,0,28.3,6.5,0,196,167
4,0,2,4,0,2,0,26.8,2.1,0,169,157
4,0,2,0,0,2,0,28.4,1.7,0,113,105
0,0,2,3,0,2,0,30.1,0.1,0,130,99
0,0,2,1,0,2,0,30.0,0.7,0,196,182
0,0,2,2,0,2,0,28.5,3.5,0,101,76
0,0,2,4,0,2,0,27.5,2.9,0,160,150
0,0,2,0,0,2,0,27.0,2.1,0,171,143
2,1,2,0,0,2,0,29.7,3.1,0,192,184
2,1,2,4,0,2,0,30.0,0.3,0,157,166
2,1,2,2,0,2,0,29.3,3.9,0,172,169
2,1,2,1,0,2,0,31.2,0.9,0,162,153
2,1,2,3,0,2,0,27.3,1.4,0,175,151
3,1,2,3,0,2,0,29.9,0.7,0,80,75
3,1,2,1,0,2,0,26.5,5.6,0,89,82
3,1,2,2,0,2,0,30.5,2.1,0,166,188
3,1,2,4,0,2,0,31.9,8.1,0,87,74
3,1,2,0,0,2,0,27.6,1.1,0,138,137
1,0,2,3,0,2,0,30.2,1.7,0,180,134
1,0,2,1,0,2,0,30.6,1.1,0,113,102
1,0,2,2,0,2,0,32.9,3.7,0,125,113
1,0,2,4,0,2,0,28.8,4.4,0,164,131
1,0,2,0,0,2,0,28.3,0.4,0,153,110
5,0,2,0,0,2,0,28.5,7.9,0,178,167
5,0,2,4,0,2,0,27.9,3.9,0,117,105
5,0,2,2,0,2,0,28.4,7.0,0,146,124
5,0,2,1,0,2,0,28.9,8.9,0,126,108
5,0,2,3,0,2,0,27.5,0.1,0,98,83
6,0,2,3,0,2,0,31.3,0.6,0,153,129
6,0,2,1,0,2,0,32.9,2.5,0,175,141
6,0,2,2,0,2,0,26.2,1.3,0,119,104
6,0,2,4,0,2,0,28.8,1.0,0,101,92
6,0,2,0,0,2,0,32.9,3.0,0,188,164
4,0,2,3,0,2,0,30.8,6.9,0,164,148
4,0,2,1,0,2,0,29.5,0.3,0,116,100
4,0,2,2,0,2,0,31.8,0.9,0,185,136
4,0,2,4,0,2,0,27.8,1.2,0,170,144
4,0,2,0,0,2,0,30.2,4.4,0,150,126
0,0,2,0,0,2,0,30.3,11.9,0,134,116
0,0,2,4,0,2,0,28.0,1.8,0,192,169
0,0,2,2,0,2,0,26.6,5.9,0,108,86
0,0,2,1,0,2,0,26.3,0.7,0,186,139
0,0,2,3,0,2,0,31.9,2.1,0,141,117
2,1,2,3,0,2,0,32.6,5.3,0,112,103
2,1,2,1,0,2,0,29.8,0.7,0,195,167
2,1,2,2,0,2,0,29.5,3.6,0,177,182
2,1,2,4,0,2,0,29.3,1.7,0,119,126
2,1,2,0,0,2,0,29.5,4.7,0,121,118
3,1,2,3,0,2,0,26.5,0.3,0,187,196
3,1,2,1,0,2,0,27.9,3.6,0,98,92
3,1,2,2,0,2,0,31.7,13.1,0,96,108
3,1,2,4,0,2,0,29.1,0.8,0,141,159
3,1,2,0,0,2,0,31.3,4.1,0,160,166
1,0,2,0,0,2,0,30.9,1.4,0,127,93
1,0,2,4,0,2,0,29.9,2.6,0,86,61
1,0,2,3,0,2,0,30.8,7.6,0,104,96
1,0,2,1,0,2,0,30.5,4.7,0,184,172
1,0,2,2,0,2,0,26.3,4.9,0,150,142
5,0,2,3,0,2,0,29.0,6.3,0,174,159
5,0,2,1,0,2,0,31.9,1.5,0,185,159
5,0,2,2,0,2,0,30.6,1.8,0,187,137
5,0,2,4,0,2,0,26.5,4.8,0,119,96
5,0,2,0,0,2,0,28.8,3.4,0,199,166
6,0,3,3,0,2,0,31.5,1.5,0,161,134
6,0,3,1,0,2,0,29.0,8.4,0,145,102
6,0,3,2,0,2,0,32.1,0.1,0,198,148
6,0,3,4,0,2,0,28.7,10.8,0,118,83
6,0,3,0,0,2,0,26.4,0.4,0,141,116
4,0,3,0,0,2,0,26.1,17.6,0,152,111
4,0,3,4,0,2,0,32.0,5.0,0,116,82
4,0,3,2,0,2,0,27.7,0.5,0,93,72
4,0,3,3,0,2,0,30.4,8.3,0,190,152
4,0,3,1,0,2,0,26.6,1.6,0,163,144
0,0,3,3,0,2,0,28.7,0.5,0,138,129
0,0,3,1,0,2,0,31.5,0.4,0,149,141
0,0,3,2,0,2,0,32.2,3.7,0,141,120
0,0,3,4,0,2,0,27.2,18.9,0,138,110
0,0,3,0,0,2,0,31.9,1.0,0,194,161
2,1,3,3,0,2,0,27.6,0.8,0,169,144
2,1,3,1,0,2,0,32.7,7.0,0,84,72
2,1,3,2,0,2,0,32.8,8.6,0,178,181
2,1,3,4,0,2,0,29.7,1.2,0,114,122
2,1,3,0,0,2,0,30.9,0.7,0,111,109
3,1,3,0,0,2,0,31.1,1.3,0,158,133
3,1,3,4,0,2,0,32.0,6.6,0,119,133
3,1,3,3,0,2,0,30.4,5.5,0,168,171
3,1,3,1,0,2,0,30.1,0.4,0,184,176
3,1,3,2,0,2,0,27.9,2.6,0,146,164
1,0,3,3,0,2,0,30.9,0.2,0,97,70
1,0,3,1,0,2,0,27.5,4.6,0,148,140
1,0,3,2,0,2,0,26.4,8.6,0,141,120
1,0,3,4,0,2,0,31.8,1.7,0,177,148
1,0,3,0,0,2,0,32.1,5.3,0,167,150
5,0,3,3,0,2,0,30.6,7.6,0,138,102
5,0,3,1,0,2,0,28.3,1.1,0,132,115
5,0,3,2,0,2,0,30.3,5.6,0,86,79
5,0,3,4,0,2,0,32.7,2.5,0,110,100
5,0,3,0,0,2,0,26.9,1.6,0,109,101
6,0,3,0,0,2,0,26.1,2.3,0,177,139
6,0,3,4,0,2,0,29.8,6.1,0,149,115
6,0,3,3,0,2,0,26.0,3.2,0,156,129
6,0,3,1,0,2,0,26.0,1.4,0,125,98
6,0,3,2,0,2,0,29.9,0.5,0,177,152
4,0,3,3,0,2,0,30.4,10.8,0,172,154
4,0,3,1,0,2,0,27.2,5.9,0,147,114
4,0,3,2,0,2,0,31.0,0.3,0,89,73
4,0,3,4,0,2,0,26.4,0.3,0,161,148
4,0,3,0,0,2,0,32.8,13.9,0,115,99
0,0,3,4,0,2,0,29.0,2.4,0,118,98
0,0,3,0,0,2,0,31.8,1.4,0,111,80
0,0,3,2,0,2,0,26.0,0.7,0,177,168
0,0,3,1,0,2,0,28.3,2.7,0,130,99
0,0,3,3,0,2,0,30.2,1.9,0,108,76
2,1,3,3,0,2,0,30.8,4.3,0,106,117
2,1,3,1,0,2,0,32.7,0.1,0,172,193
2,1,3,2,0,2,0,28.9,4.1,0,85,91
2,1,3,4,0,2,0,29.1,1.5,0,137,152
2,1,3,0,0,2,0,27.6,1.0,0,143,157
3,1,3,3,0,2,0,31.0,3.3,0,187,184
3,1,3,1,0,2,0,32.8,0.8,0,96,83
3,1,3,2,0,2,0,27.1,2.4,0,129,138
3,1,3,4,0,2,0,30.4,0.6,0,132,147
3,1,3,0,0,2,0,32.8,0.8,0,94,93
1,0,3,0,0,2,0,28.7,2.6,0,174,153
1,0,3,4,0,2,0,32.9,0.6,0,100,72
1,0,3,2,0,2,0,30.1,1.3,0,167,135
1,0,3,1,0,2,0,29.9,1.0,0,139,100
1,0,3,3,0,2,0,26.8,0.5,0,187,142
5,0,3,3,0,2,1,30.6,5.7,0,181,168
5,0,3,1,0,2,1,31.1,5.5,0,120,91
5,0,3,2,0,2,1,32.9,0.6,0,159,130
5,0,3,4,0,2,1,27.5,1.7,0,119,84
5,0,3,0,0,2,1,28.3,2.9,0,112,103
6,0,3,3,0,2,1,26.6,7.0,0,105,84
6,0,3,1,0,2,1,26.9,3.4,0,125,109
6,0,3,2,0,2,1,31.8,0.2,0,123,89
6,0,3,4,0,2,1,30.5,4.9,0,85,72
6,0,3,0,0,2,1,30.3,3.8,0,120,105
4,0,3,0,0,2,0,26.4,1.1,0,92,75
4,0,3,4,0,2,0,26.3,0.7,0,93,67
4,0,3,3,0,2,0,32.1,5.0,0,141,126
4,0,3,1,0,2,0,30.3,2.6,0,154,142
4,0,3,2,0,2,0,29.8,6.8,0,105,86
0,0,3,3,0,2,0,30.3,1.6,0,189,148
0,0,3,1,0,2,0,27.3,6.2,0,134,95
0,0,3,2,0,2,0,27.1,0.1,0,162,123
0,0,3,4,0,2,0,33.0,14.7,0,82,59
0,0,3,0,0,2,0,28.8,1.0,0,133,94
2,1,3,4,0,2,0,29.6,3.5,0,196,188
2,1,3,2,0,2,0,28.6,17.6,0,103,103
2,1,3,0,0,2,0,30.2,3.6,0,115,111
2,1,3,3,0,2,0,27.8,2.5,0,173,195
2,1,3,1,0,2,0,28.9,7.5,0,116,109
3,1,3,3,0,2,0,27.9,3.6,0,197,187
3,1,3,1,0,2,0,28.7,2.5,0,100,106
3,1,3,2,0,2,0,26.9,5.0,0,191,195
3,1,3,4,0,2,0,30.4,1.9,0,81,72
3,1,3,0,0,2,0,32.0,2.7,0,141,123
1,0,3,3,0,2,0,28.8,3.6,0,182,144
1,0,3,1,0,2,0,30.2,0.7,0,168,158
1,0,3,2,0,2,0,27.8,4.3,0,144,129
1,0,3,4,0,2,0,26.9,14.0,0,126,96
1,0,3,0,0,2,0,32.2,2.3,0,159,132
5,0,3,4,0,2,0,29.7,6.1,0,199,179
5,0,3,2,0,2,0,27.2,0.1,0,116,92
5,0,3,0,0,2,0,30.1,8.1,0,187,156
5,0,3,3,0,2,0,28.4,7.1,0,80,65
5,0,3,1,0,2,0,30.1,11.9,0,136,101
6,0,3,3,0,2,0,26.2,17.3,0,152,127
6,0,3,1,0,2,0,32.6,0.2,0,198,150
6,0,3,2,0,2,0,27.3,0.4,0,112,93
6,0,3,4,0,2,0,26.3,0.6,0,132,108
6,0,3,0,0,2,0,30.8,0.1,0,168,144
4,0,3,3,0,2,0,32.1,2.4,0,190,158
4,0,3,1,0,2,0,28.4,3.0,0,102,72
4,0,3,2,0,2,0,28.2,4.9,0,185,163
4,0,3,4,0,2,0,27.1,0.8,0,198,172
4,0,3,0,0,2,0,29.1,8.1,0,165,126
0,0,3,0,0,2,0,30.7,3.4,0,141,122
0,0,3,4,0,2,0,30.7,1.0,0,159,144
0,0,3,3,0,2,0,30.6,15.4,0,122,106
0,0,3,1,0,2,0,29.5,3.8,0,87,80
0,0,3,2,0,2,0,31.4,0.5,0,168,147
2,1,3,3,0,2,0,33.0,0.2,0,152,167
2,1,3,1,0,2,0,33.0,5.6,0,196,198
2,1,3,2,0,2,0,31.2,8.4,0,181,170
2,1,3,4,0,2,0,30.7,6.6,0,161,178
2,1,3,0,0,2,0,28.2,8.1,0,80,70
3,1,3,3,0,2,0,29.8,0.0,0,94,97
3,1,3,1,0,2,0,30.3,3.3,0,98,94
3,1,3,2,0,2,0,29.1,1.1,0,192,187
3,1,3,4,0,2,0,26.1,3.5,0,151,157
3,1,3,0,0,2,0,30.3,2.5,0,82,82
1,0,3,4,0,2,0,31.7,5.1,0,122,86
1,0,3,0,0,2,0,27.4,0.0,0,126,90
1,0,3,1,0,2,0,28.4,1.9,0,177,147
1,0,3,3,0,2,0,32.7,7.5,0,107,76
1,0,3,2,0,2,0,27.7,2.6,0,122,109
5,0,3,3,0,2,0,32.7,4.3,0,130,93
5,0,3,1,0,2,0,32.5,1.7,0,113,84
5,0,3,2,0,2,0,30.3,3.0,0,189,147
5,0,3,4,0,2,0,31.6,3.1,0,95,69
5,0,3,0,0,2,0,31.0,2.0,0,156,125
6,0,3,3,0,2,0,26.9,0.8,0,174,159
6,0,3,1,0,2,0,31.6,0.8,0,142,103
6,0,3,2,0,2,0,30.0,1.2,0,115,93
6,0,3,4,0,2,0,26.6,6.8,0,123,87
6,0,3,0,0,2,0,30.4,12.1,0,198,170
4,0,3,0,0,2,0,26.7,3.9,0,176,142
4,0,3,4,0,2,0,31.1,7.6,0,118,102
4,0,3,1,0,2,0,30.3,2.1,0,121,112
4,0,3,3,0,2,0,29.6,3.6,0,105,79
4,0,3,2,0,2,0,28.5,1.1,0,116,90
0,0,3,3,0,2,0,27.1,1.1,0,187,171
0,0,3,1,0,2,0,27.5,0.4,0,127,99
0,0,3,2,0,2,0,27.6,0.9,0,90,68
0,0,3,4,0,2,0,28.7,3.6,0,104,98
0,0,3,0,0,2,0,27.0,4.8,0,146,118
2,1,4,4,0,2,0,32.3,0.9,0,87,83
2,1,4,3,0,2,0,29.1,5.2,0,154,175
2,1,4,1,0,2,0,26.9,0.4,0,169,159
2,1,4,2,0,2,0,32.3,5.9,0,115,100
2,1,4,0,0,2,0,28.4,3.8,0,92,92
3,1,4,0,0,2,0,29.3,0.2,0,123,107
3,1,4,4,0,2,0,28.6,1.8,0,114,121
3,1,4,3,0,2,0,26.5,6.4,0,106,109
3,1,4,1,0,2,0,27.9,3.6,0,146,146
3,1,4,2,0,2,0,28.3,1.6,0,149,127
1,0,4,3,0,2,0,32.7,4.0,0,126,95
1,0,4,1,0,2,0,29.8,0.4,0,134,119
1,0,4,2,0,2,0,28.4,4.4,0,163,133
1,0,4,4,0,2,0,28.7,0.5,0,194,143
1,0,4,0,0,2,0,32.9,10.5,0,187,142
5,0,4,4,0,2,0,27.8,1.8,0,164,129
5,0,4,2,0,2,0,27.1,0.3,0,115,89
5,0,4,0,0,2,0,27.7,2.9,0,146,117
5,0,4,3,0,2,0,30.7,0.4,0,101,73
5,0,4,1,0,2,0,31.3,0.5,0,95,79
6,0,4,3,0,2,0,29.1,3.7,0,134,99
6,0,4,1,0,2,0,31.5,3.4,0,139,127
6,0,4,2,0,2,0,27.5,10.7,0,121,101
6,0,4,4,0,2,0,30.4,4.5,0,185,170
6,0,4,0,0,2,0,31.6,6.2,0,131,119
4,0,4,3,0,2,0,28.3,0.1,0,170,149
4,0,4,1,0,2,0,28.4,14.9,0,89,81
4,0,4,2,0,2,0,26.9,7.9,0,115,98
4,0,4,4,0,2,0,27.0,9.1,0,189,141
4,0,4,0,0,2,0,29.5,2.0,0,104,90
0,0,4,4,0,2,0,26.7,4.1,0,172,121
0,0,4,2,0,2,0,30.2,11.0,0,99,80
0,0,4,0,0,2,0,30.2,1.8,0,110,79
0,0,4,3,0,2,0,26.9,2.6,0,147,108
0,0,4,1,0,2,0,32.7,3.2,0,111,81
2,1,4,3,0,2,0,31.5,2.5,0,81,80
2,1,4,1,0,2,0,31.3,3.9,0,158,179
2,1,4,2,0,2,0,27.7,0.6,0,152,163
2,1,4,4,0,2,0,27.9,0.8,0,95,82
2,1,4,0,0,2,0,29.6,22.9,1,96,74
3,1,4,3,0,2,0,27.5,0.8,0,115,115
3,1,4,1,0,2,0,29.0,0.6,0,195,187
3,1,4,2,0,2,0,30.6,1.7,0,106,102
3,1,4,4,0,2,0,31.8,5.3,0,165,186
