date,day_of_week,is_weekend,month,menu_category,is_festival,festival_type,is_poya_day,temperature_avg,rainfall_mm,is_heavy_rain,supplier_invoice_qty,daily_demand_qty
2023-01-10,Tuesday,0,1,Kottu,0,None,0,27.1,2.8,0,159,113
2023-01-10,Tuesday,0,1,Short Eats,0,None,0,30.1,4.5,0,98,86
2023-01-10,Tuesday,0,1,Beverages,0,None,0,31.7,1.7,0,150,112
2023-01-11,Wednesday,0,1,Rice & Curry,0,None,0,30.8,2.0,0,161,146
2023-01-11,Wednesday,0,1,Fried Rice,0,None,0,30.7,5.3,0,129,120
2023-01-11,Wednesday,0,1,Kottu,0,None,0,32.1,1.2,0,95,86
2023-01-11,Wednesday,0,1,Short Eats,0,None,0,29.9,3.0,0,81,77
2023-01-11,Wednesday,0,1,Beverages,0,None,0,32.8,3.3,0,111,95
2023-01-12,Thursday,0,1,Rice & Curry,0,None,0,28.4,1.7,0,127,116
2023-01-12,Thursday,0,1,Fried Rice,0,None,0,32.0,2.1,0,112,96
2023-01-12,Thursday,0,1,Kottu,0,None,0,26.6,0.7,0,117,101
2023-01-12,Thursday,0,1,Short Eats,0,None,0,30.1,1.9,0,168,145
2023-01-12,Thursday,0,1,Beverages,0,None,0,26.0,0.7,0,161,132
2023-01-13,Friday,0,1,Rice & Curry,0,None,0,29.1,20.8,1,179,134
2023-01-13,Friday,0,1,Fried Rice,0,None,0,27.7,1.6,0,99,78
2023-01-13,Friday,0,1,Kottu,0,None,0,31.2,5.1,0,112,94
2023-01-13,Friday,0,1,Short Eats,0,None,0,29.6,4.0,0,101,77
2023-01-13,Friday,0,1,Beverages,0,None,0,32.8,2.0,0,133,123
2023-01-14,Saturday,1,1,Rice & Curry,0,None,1,29.0,1.7,0,176,178
2023-01-14,Saturday,1,1,Fried Rice,0,None,1,29.4,0.9,0,140,139
2023-01-14,Saturday,1,1,Kottu,0,None,1,30.0,5.9,0,96,109
2023-01-14,Saturday,1,1,Short Eats,0,None,1,29.3,1.3,0,85,81
2023-01-14,Saturday,1,1,Beverages,0,None,1,26.1,10.5,0,192,193
2023-01-15,Sunday,1,1,Rice & Curry,0,None,1,30.0,15.7,0,195,181
2023-01-15,Sunday,1,1,Fried Rice,0,None,1,28.7,7.6,0,146,130
2023-01-15,Sunday,1,1,Kottu,0,None,1,29.9,11.0,0,137,153
2023-01-15,Sunday,1,1,Short Eats,0,None,1,26.5,0.9,0,126,143
2023-01-15,Sunday,1,1,Beverages,0,None,1,27.0,2.9,0,81,76
2023-01-16,Monday,0,1,Rice & Curry,0,None,0,31.9,0.6,0,197,156
2023-01-16,Monday,0,1,Fried Rice,0,None,0,28.1,6.6,0,178,136
2023-01-16,Monday,0,1,Kottu,0,None,0,30.3,0.3,0,86,71
2023-01-16,Monday,0,1,Short Eats,0,None,0,31.6,4.2,0,189,170
2023-01-16,Monday,0,1,Beverages,0,None,0,32.2,1.6,0,171,144
2023-01-17,Tuesday,0,1,Rice & Curry,0,None,0,29.1,4.5,0,130,106
2023-01-17,Tuesday,0,1,Fried Rice,0,None,0,29.8,1.4,0,137,125
2023-01-17,Tuesday,0,1,Kottu,0,None,0,27.8,0.2,0,94,74
2023-01-17,Tuesday,0,1,Short Eats,0,None,0,26.9,3.0,0,132,101
2023-01-17,Tuesday,0,1,Beverages,0,None,0,32.8,2.4,0,85,61
2023-01-18,Wednesday,0,1,Rice & Curry,0,None,0,29.7,3.1,0,134,98
2023-01-18,Wednesday,0,1,Fried Rice,0,None,0,26.9,14.0,0,185,144
2023-01-18,Wednesday,0,1,Kottu,0,None,0,31.6,1.3,0,171,152
2023-01-18,Wednesday,0,1,Short Eats,0,None,0,27.8,0.8,0,141,128
2023-01-18,Wednesday,0,1,Beverages,0,None,0,30.9,2.1,0,137,127
2023-01-19,Thursday,0,1,Rice & Curry,0,None,0,29.1,1.1,0,197,173
2023-01-19,Thursday,0,1,Fried Rice,0,None,0,30.6,1.3,0,95,79
2023-01-19,Thursday,0,1,Kottu,0,None,0,30.6,2.3,0,172,138
2023-01-19,Thursday,0,1,Short Eats,0,None,0,27.7,1.8,0,180,131
2023-01-19,Thursday,0,1,Beverages,0,None,0,28.4,0.4,0,126,89
2023-01-20,Friday,0,1,Rice & Curry,0,None,0,32.0,4.9,0,155,109
2023-01-20,Friday,0,1,Fried Rice,0,None,0,31.3,6.6,0,179,133
2023-01-20,Friday,0,1,Kottu,0,None,0,29.0,2.0,0,89,83
2023-01-20,Friday,0,1,Short Eats,0,None,0,32.2,1.2,0,89,76
2023-01-20,Friday,0,1,Beverages,0,None,0,29.5,7.8,0,148,129
2023-01-21,Saturday,1,1,Rice & Curry,0,None,0,30.3,11.5,0,81,69
2023-01-21,Saturday,1,1,Fried Rice,0,None,0,30.1,11.3,0,103,107
2023-01-21,Saturday,1,1,Kottu,0,None,0,30.0,0.6,0,140,141
2023-01-21,Saturday,1,1,Short Eats,0,None,0,32.6,2.0,0,112,116
2023-01-21,Saturday,1,1,Beverages,0,None,0,27.4,1.3,0,91,79
2023-01-22,Sunday,1,1,Rice & Curry,0,None,0,26.1,0.4,0,114,107
2023-01-22,Sunday,1,1,Fried Rice,0,None,0,30.6,1.9,0,153,130
2023-01-22,Sunday,1,1,Kottu,0,None,0,31.7,1.3,0,147,154
2023-01-22,Sunday,1,1,Short Eats,0,None,0,28.4,11.0,0,199,211
2023-01-22,Sunday,1,1,Beverages,0,None,0,31.6,1.3,0,89,86
2023-01-23,Monday,0,1,Rice & Curry,0,None,0,30.0,3.4,0,178,143
2023-01-23,Monday,0,1,Fried Rice,0,None,0,28.6,6.0,0,103,94
2023-01-23,Monday,0,1,Kottu,0,None,0,29.9,1.1,0,134,119
2023-01-23,Monday,0,1,Short Eats,0,None,0,31.3,0.4,0,96,80
2023-01-23,Monday,0,1,Beverages,0,None,0,29.5,2.0,0,92,85
2023-01-24,Tuesday,0,1,Rice & Curry,0,None,0,28.7,0.0,0,184,168
2023-01-24,Tuesday,0,1,Fried Rice,0,None,0,28.5,12.6,0,174,163
2023-01-24,Tuesday,0,1,Kottu,0,None,0,30.0,4.0,0,196,142
2023-01-24,Tuesday,0,1,Short Eats,0,None,0,30.2,3.2,0,164,146
2023-01-24,Tuesday,0,1,Beverages,0,None,0,31.5,6.2,0,188,175
2023-01-25,Wednesday,0,1,Rice & Curry,0,None,0,32.8,22.0,1,84,63
2023-01-25,Wednesday,0,1,Fried Rice,0,None,0,29.8,4.9,0,190,140
2023-01-25,Wednesday,0,1,Kottu,0,None,0,31.3,3.9,0,181,131
2023-01-25,Wednesday,0,1,Short Eats,0,None,0,30.9,0.3,0,129,119
2023-01-25,Wednesday,0,1,Beverages,0,None,0,27.0,2.9,0,117,111
2023-01-26,Thursday,0,1,Rice & Curry,0,None,0,28.6,1.9,0,195,148
2023-01-26,Thursday,0,1,Fried Rice,0,None,0,32.4,3.6,0,115,91
2023-01-26,Thursday,0,1,Kottu,0,None,0,26.6,6.0,0,133,117
2023-01-26,Thursday,0,1,Short Eats,0,None,0,27.7,1.6,0,146,111
2023-01-26,Thursday,0,1,Beverages,0,None,0,28.8,3.4,0,99,72
2023-01-27,Friday,0,1,Rice & Curry,0,None,0,26.8,4.2,0,80,70
2023-01-27,Friday,0,1,Fried Rice,0,None,0,27.7,2.0,0,192,138
2023-01-27,Friday,0,1,Kottu,0,None,0,29.7,2.3,0,137,96
2023-01-27,Friday,0,1,Short Eats,0,None,0,32.8,0.2,0,100,71
2023-01-27,Friday,0,1,Beverages,0,None,0,32.5,10.1,0,115,96
2023-01-28,Saturday,1,1,Rice & Curry,0,None,0,32.8,3.0,0,184,167
2023-01-28,Saturday,1,1,Fried Rice,0,None,0,28.1,21.9,1,133,115
2023-01-28,Saturday,1,1,Kottu,0,None,0,32.3,0.2,0,91,103
2023-01-28,Saturday,1,1,Short Eats,0,None,0,26.4,2.0,0,103,106
2023-01-28,Saturday,1,1,Beverages,0,None,0,27.9,0.8,0,169,162
2023-01-29,Sunday,1,1,Rice & Curry,0,None,0,27.6,1.2,0,180,204
2023-01-29,Sunday,1,1,Fried Rice,0,None,0,32.9,4.8,0,96,89
2023-01-29,Sunday,1,1,Kottu,0,None,0,28.9,3.7,0,191,170
2023-01-29,Sunday,1,1,Short Eats,0,None,0,32.4,6.9,0,161,155
2023-01-29,Sunday,1,1,Beverages,0,None,0,30.1,10.1,0,89,100
2023-01-30,Monday,0,1,Rice & Curry,0,None,0,32.1,0.2,0,198,159
2023-01-30,Monday,0,1,Fried Rice,0,None,0,31.4,2.6,0,190,140
2023-01-30,Monday,0,1,Kottu,0,None,0,30.2,1.9,0,165,150
2023-01-30,Monday,0,1,Short Eats,0,None,0,30.0,0.3,0,184,148
2023-01-30,Monday,0,1,Beverages,0,None,0,27.9,0.2,0,85,74
2023-01-31,Tuesday,0,1,Rice & Curry,0,None,0,29.7,5.5,0,82,69
2023-01-31,Tuesday,0,1,Fried Rice,0,None,0,31.4,11.6,0,153,122
2023-01-31,Tuesday,0,1,Kottu,0,None,0,27.7,0.9,0,80,75
2023-01-31,Tuesday,0,1,Short Eats,0,None,0,30.2,1.0,0,192,171
2023-01-31,Tuesday,0,1,Beverages,0,None,0,26.3,1.3,0,118,102
2023-02-01,Wednesday,0,2,Rice & Curry,0,None,0,29.6,5.9,0,129,118
2023-02-01,Wednesday,0,2,Fried Rice,0,None,0,29.9,3.3,0,173,155
2023-02-01,Wednesday,0,2,Kottu,0,None,0,30.1,2.6,0,102,91
2023-02-01,Wednesday,0,2,Short Eats,0,None,0,30.3,4.9,0,130,120
2023-02-01,Wednesday,0,2,Beverages,0,None,0,30.3,15.7,0,129,109
2023-02-02,Thursday,0,2,Rice & Curry,0,None,0,28.7,2.3,0,142,125
2023-02-02,Thursday,0,2,Fried Rice,0,None,0,29.8,2.4,0,158,126
2023-02-02,Thursday,0,2,Kottu,0,None,0,30.4,7.9,0,84,76
2023-02-02,Thursday,0,2,Short Eats,0,None,0,29.2,7.4,0,96,73
2023-02-02,Thursday,0,2,Beverages,0,None,0,29.2,15.7,0,132,104
2023-02-03,Friday,0,2,Rice & Curry,0,None,0,27.5,3.5,0,154,111
2023-02-03,Friday,0,2,Fried Rice,0,None,0,26.9,0.5,0,174,139
2023-02-03,Friday,0,2,Kottu,0,None,0,30.9,0.8,0,83,65
2023-02-03,Friday,0,2,Short Eats,0,None,0,32.3,2.6,0,172,162
2023-02-03,Friday,0,2,Beverages,0,None,0,30.2,1.0,0,100,74
2023-02-04,Saturday,1,2,Rice & Curry,0,None,0,28.0,0.8,0,100,100
2023-02-04,Saturday,1,2,Fried Rice,0,None,0,29.7,1.8,0,125,119
2023-02-04,Saturday,1,2,Kottu,0,None,0,29.5,4.7,0,152,132
2023-02-04,Saturday,1,2,Short Eats,0,None,0,29.4,4.7,0,135,149
2023-02-04,Saturday,1,2,Beverages,0,None,0,32.4,0.3,0,105,116
2023-02-05,Sunday,1,2,Rice & Curry,0,None,0,26.6,3.6,0,131,118
2023-02-05,Sunday,1,2,Fried Rice,0,None,0,28.6,2.7,0,169,180
2023-02-05,Sunday,1,2,Kottu,0,None,0,29.7,5.1,0,105,89
2023-02-05,Sunday,1,2,Short Eats,0,None,0,27.8,5.0,0,190,208
2023-02-05,Sunday,1,2,Beverages,0,None,0,31.2,0.1,0,97,94
2023-02-06,Monday,0,2,Rice & Curry,0,None,0,29.7,1.1,0,168,149
2023-02-06,Monday,0,2,Fried Rice,0,None,0,27.3,3.3,0,96,72
2023-02-06,Monday,0,2,Kottu,0,None,0,28.3,0.5,0,96,75
2023-02-06,Monday,0,2,Short Eats,0,None,0,29.3,1.8,0,184,152
2023-02-06,Monday,0,2,Beverages,0,None,0,26.6,3.1,0,113,95
2023-02-07,Tuesday,0,2,Rice & Curry,0,None,0,30.1,3.3,0,121,93
2023-02-07,Tuesday,0,2,Fried Rice,0,None,0,28.5,4.2,0,177,135
2023-02-07,Tuesday,0,2,Kottu,0,None,0,29.5,1.6,0,112,79
2023-02-07,Tuesday,0,2,Short Eats,0,None,0,27.6,1.8,0,191,141
2023-02-07,Tuesday,0,2,Beverages,0,None,0,27.3,1.3,0,174,124
2023-02-08,Wednesday,0,2,Rice & Curry,0,None,0,31.9,0.2,0,110,88
2023-02-08,Wednesday,0,2,Fried Rice,0,None,0,32.9,0.5,0,145,122
2023-02-08,Wednesday,0,2,Kottu,0,None,0,32.4,0.0,0,197,151
2023-02-08,Wednesday,0,2,Short Eats,0,None,0,27.2,4.4,0,136,120
2023-02-08,Wednesday,0,2,Beverages,0,None,0,29.7,2.6,0,124,111
2023-02-09,Thursday,0,2,Rice & Curry,0,None,0,27.3,1.6,0,98,73
2023-02-09,Thursday,0,2,Fried Rice,0,None,0,31.2,3.0,0,80,68
2023-02-09,Thursday,0,2,Kottu,0,None,0,28.0,3.5,0,90,84
2023-02-09,Thursday,0,2,Short Eats,0,None,0,28.2,3.6,0,85,67
2023-02-09,Thursday,0,2,Beverages,0,None,0,26.9,0.3,0,123,92
2023-02-10,Friday,0,2,Rice & Curry,0,None,0,30.8,0.4,0,142,124
2023-02-10,Friday,0,2,Fried Rice,0,None,0,31.3,3.6,0,103,88
2023-02-10,Friday,0,2,Kottu,0,None,0,31.6,0.5,0,148,134
2023-02-10,Friday,0,2,Short Eats,0,None,0,32.8,0.5,0,199,189
2023-02-10,Friday,0,2,Beverages,0,None,0,27.4,1.9,0,80,71
2023-02-11,Saturday,1,2,Rice & Curry,0,None,0,30.0,7.4,0,151,164
2023-02-11,Saturday,1,2,Fried Rice,0,None,0,31.3,6.4,0,114,101
2023-02-11,Saturday,1,2,Kottu,0,None,0,31.7,4.4,0,105,117
2023-02-11,Saturday,1,2,Short Eats,0,None,0,28.2,3.5,0,97,105
2023-02-11,Saturday,1,2,Beverages,0,None,0,29.1,1.9,0,130,134
2023-02-12,Sunday,1,2,Rice & Curry,0,None,0,29.8,2.3,0,176,160
2023-02-12,Sunday,1,2,Fried Rice,0,None,0,32.3,1.9,0,157,135
2023-02-12,Sunday,1,2,Kottu,0,None,0,27.6,3.1,0,149,167
2023-02-12,Sunday,1,2,Short Eats,0,None,0,30.4,1.6,0,143,127
2023-02-12,Sunday,1,2,Beverages,0,None,0,32.2,2.7,0,173,192
2023-02-13,Monday,0,2,Rice & Curry,0,None,0,31.5,0.7,0,176,154
2023-02-13,Monday,0,2,Fried Rice,0,None,0,31.5,0.6,0,147,124
2023-02-13,Monday,0,2,Kottu,0,None,0,31.3,8.4,0,176,128
2023-02-13,Monday,0,2,Short Eats,0,None,0,29.8,1.9,0,188,138
2023-02-13,Monday,0,2,Beverages,0,None,0,28.8,6.4,0,84,69
2023-02-14,Tuesday,0,2,Rice & Curry,0,None,1,28.9,5.9,0,106,91
2023-02-14,Tuesday,0,2,Fried Rice,0,None,1,30.9,3.1,0,122,104
2023-02-14,Tuesday,0,2,Kottu,0,None,1,31.8,12.8,0,183,155
2023-02-14,Tuesday,0,2,Short Eats,0,None,1,28.8,2.5,0,125,107
2023-02-14,Tuesday,0,2,Beverages,0,None,1,32.4,0.6,0,161,137
2023-02-15,Wednesday,0,2,Rice & Curry,0,None,1,26.1,8.2,0,155,112
2023-02-15,Wednesday,0,2,Fried Rice,0,None,1,32.4,6.2,0,116,102
2023-02-15,Wednesday,0,2,Kottu,0,None,1,27.1,3.4,0,88,71
2023-02-15,Wednesday,0,2,Short Eats,0,None,1,31.2,10.9,0,165,153
2023-02-15,Wednesday,0,2,Beverages,0,None,1,26.9,1.1,0,169,154
2023-02-16,Thursday,0,2,Rice & Curry,0,None,0,26.9,10.1,0,142,110
2023-02-16,Thursday,0,2,Fried Rice,0,None,0,27.6,3.7,0,126,90
2023-02-16,Thursday,0,2,Kottu,0,None,0,28.3,6.5,0,196,167
2023-02-16,Thursday,0,2,Short Eats,0,None,0,26.8,2.1,0,169,157
2023-02-16,Thursday,0,2,Beverages,0,None,0,28.4,1.7,0,113,105
2023-02-17,Friday,0,2,Rice & Curry,0,None,0,30.1,0.1,0,130,99
2023-02-17,Friday,0,2,Fried Rice,0,None,0,30.0,0.7,0,196,182
2023-02-17,Friday,0,2,Kottu,0,None,0,28.5,3.5,0,101,76
2023-02-17,Friday,0,2,Short Eats,0,None,0,27.5,2.9,0,160,150
2023-02-17,Friday,0,2,Beverages,0,None,0,27.0,2.1,0,171,143
2023-02-18,Saturday,1,2,Rice & Curry,0,None,0,27.3,1.4,0,175,151
2023-02-18,Saturday,1,2,Fried Rice,0,None,0,31.2,0.9,0,162,153
2023-02-18,Saturday,1,2,Kottu,0,None,0,29.3,3.9,0,172,169
2023-02-18,Saturday,1,2,Short Eats,0,None,0,30.0,0.3,0,157,166
2023-02-18,Saturday,1,2,Beverages,0,None,0,29.7,3.1,0,192,184
2023-02-19,Sunday,1,2,Rice & Curry,0,None,0,29.9,0.7,0,80,75
2023-02-19,Sunday,1,2,Fried Rice,0,None,0,26.5,5.6,0,89,82
2023-02-19,Sunday,1,2,Kottu,0,None,0,30.5,2.1,0,166,188
2023-02-19,Sunday,1,2,Short Eats,0,None,0,31.9,8.1,0,87,74
2023-02-19,Sunday,1,2,Beverages,0,None,0,27.6,1.1,0,138,137
2023-02-20,Monday,0,2,Rice & Curry,0,None,0,30.2,1.7,0,180,134
2023-02-20,Monday,0,2,Fried Rice,0,None,0,30.6,1.1,0,113,102
2023-02-20,Monday,0,2,Kottu,0,None,0,32.9,3.7,0,125,113
2023-02-20,Monday,0,2,Short Eats,0,None,0,28.8,4.4,0,164,131
2023-02-20,Monday,0,2,Beverages,0,None,0,28.3,0.4,0,153,110
2023-02-21,Tuesday,0,2,Rice & Curry,0,None,0,27.5,0.1,0,98,83
2023-02-21,Tuesday,0,2,Fried Rice,0,None,0,28.9,8.9,0,126,108
2023-02-21,Tuesday,0,2,Kottu,0,None,0,28.4,7.0,0,146,124
2023-02-21,Tuesday,0,2,Short Eats,0,None,0,27.9,3.9,0,117,105
2023-02-21,Tuesday,0,2,Beverages,0,None,0,28.5,7.9,0,178,167
2023-02-22,Wednesday,0,2,Rice & Curry,0,None,0,31.3,0.6,0,153,129
2023-02-22,Wednesday,0,2,Fried Rice,0,None,0,32.9,2.5,0,175,141
2023-02-22,Wednesday,0,2,Kottu,0,None,0,26.2,1.3,0,119,104
2023-02-22,Wednesday,0,2,Short Eats,0,None,0,28.8,1.0,0,101,92
2023-02-22,Wednesday,0,2,Beverages,0,None,0,32.9,3.0,0,188,164
2023-02-23,Thursday,0,2,Rice & Curry,0,None,0,30.8,6.9,0,164,148
2023-02-23,Thursday,0,2,Fried Rice,0,None,0,29.5,0.3,0,116,100
2023-02-23,Thursday,0,2,Kottu,0,None,0,31.8,0.9,0,185,136
2023-02-23,Thursday,0,2,Short Eats,0,None,0,27.8,1.2,0,170,144
2023-02-23,Thursday,0,2,Beverages,0,None,0,30.2,4.4,0,150,126
2023-02-24,Friday,0,2,Rice & Curry,0,None,0,31.9,2.1,0,141,117
2023-02-24,Friday,0,2,Fried Rice,0,None,0,26.3,0.7,0,186,139
2023-02-24,Friday,0,2,Kottu,0,None,0,26.6,5.9,0,108,86
2023-02-24,Friday,0,2,Short Eats,0,None,0,28.0,1.8,0,192,169
2023-02-24,Friday,0,2,Beverages,0,None,0,30.3,11.9,0,134,116
2023-02-25,Saturday,1,2,Rice & Curry,0,None,0,32.6,5.3,0,112,103
2023-02-25,Saturday,1,2,Fried Rice,0,None,0,29.8,0.7,0,195,167
2023-02-25,Saturday,1,2,Kottu,0,None,0,29.5,3.6,0,177,182
2023-02-25,Saturday,1,2,Short Eats,0,None,0,29.3,1.7,0,119,126
2023-02-25,Saturday,1,2,Beverages,0,None,0,29.5,4.7,0,121,118
2023-02-26,Sunday,1,2,Rice & Curry,0,None,0,26.5,0.3,0,187,196
2023-02-26,Sunday,1,2,Fried Rice,0,None,0,27.9,3.6,0,98,92
2023-02-26,Sunday,1,2,Kottu,0,None,0,31.7,13.1,0,96,108
2023-02-26,Sunday,1,2,Short Eats,0,None,0,29.1,0.8,0,141,159
2023-02-26,Sunday,1,2,Beverages,0,None,0,31.3,4.1,0,160,166
2023-02-27,Monday,0,2,Rice & Curry,0,None,0,30.8,7.6,0,104,96
2023-02-27,Monday,0,2,Fried Rice,0,None,0,30.5,4.7,0,184,172
2023-02-27,Monday,0,2,Kottu,0,None,0,26.3,4.9,0,150,142
2023-02-27,Monday,0,2,Short Eats,0,None,0,29.9,2.6,0,86,61
2023-02-27,Monday,0,2,Beverages,0,None,0,30.9,1.4,0,127,93
2023-02-28,Tuesday,0,2,Rice & Curry,0,None,0,29.0,6.3,0,174,159
2023-02-28,Tuesday,0,2,Fried Rice,0,None,0,31.9,1.5,0,185,159
2023-02-28,Tuesday,0,2,Kottu,0,None,0,30.6,1.8,0,187,137
2023-02-28,Tuesday,0,2,Short Eats,0,None,0,26.5,4.8,0,119,96
2023-02-28,Tuesday,0,2,Beverages,0,None,0,28.8,3.4,0,199,166
2023-03-01,Wednesday,0,3,Rice & Curry,0,None,0,31.5,1.5,0,161,134
2023-03-01,Wednesday,0,3,Fried Rice,0,None,0,29.0,8.4,0,145,102
2023-03-01,Wednesday,0,3,Kottu,0,None,0,32.1,0.1,0,198,148
2023-03-01,Wednesday,0,3,Short Eats,0,None,0,28.7,10.8,0,118,83
2023-03-01,Wednesday,0,3,Beverages,0,None,0,26.4,0.4,0,141,116
2023-03-02,Thursday,0,3,Rice & Curry,0,None,0,30.4,8.3,0,190,152
2023-03-02,Thursday,0,3,Fried Rice,0,None,0,26.6,1.6,0,163,144
2023-03-02,Thursday,0,3,Kottu,0,None,0,27.7,0.5,0,93,72
2023-03-02,Thursday,0,3,Short Eats,0,None,0,32.0,5.0,0,116,82
2023-03-02,Thursday,0,3,Beverages,0,None,0,26.1,17.6,0,152,111
2023-03-03,Friday,0,3,Rice & Curry,0,None,0,28.7,0.5,0,138,129
2023-03-03,Friday,0,3,Fried Rice,0,None,0,31.5,0.4,0,149,141
2023-03-03,Friday,0,3,Kottu,0,None,0,32.2,3.7,0,141,120
2023-03-03,Friday,0,3,Short Eats,0,None,0,27.2,18.9,0,138,110
2023-03-03,Friday,0,3,Beverages,0,None,0,31.9,1.0,0,194,161
2023-03-04,Saturday,1,3,Rice & Curry,0,None,0,27.6,0.8,0,169,144
2023-03-04,Saturday,1,3,Fried Rice,0,None,0,32.7,7.0,0,84,72
2023-03-04,Saturday,1,3,Kottu,0,None,0,32.8,8.6,0,178,181
2023-03-04,Saturday,1,3,Short Eats,0,None,0,29.7,1.2,0,114,122
2023-03-04,Saturday,1,3,Beverages,0,None,0,30.9,0.7,0,111,109
2023-03-05,Sunday,1,3,Rice & Curry,0,None,0,30.4,5.5,0,168,171
2023-03-05,Sunday,1,3,Fried Rice,0,None,0,30.1,0.4,0,184,176
2023-03-05,Sunday,1,3,Kottu,0,None,0,27.9,2.6,0,146,164
2023-03-05,Sunday,1,3,Short Eats,0,None,0,32.0,6.6,0,119,133
2023-03-05,Sunday,1,3,Beverages,0,None,0,31.1,1.3,0,158,133
2023-03-06,Monday,0,3,Rice & Curry,0,None,0,30.9,0.2,0,97,70
2023-03-06,Monday,0,3,Fried Rice,0,None,0,27.5,4.6,0,148,140
2023-03-06,Monday,0,3,Kottu,0,None,0,26.4,8.6,0,141,120
2023-03-06,Monday,0,3,Short Eats,0,None,0,31.8,1.7,0,177,148
2023-03-06,Monday,0,3,Beverages,0,None,0,32.1,5.3,0,167,150
2023-03-07,Tuesday,0,3,Rice & Curry,0,None,0,30.6,7.6,0,138,102
2023-03-07,Tuesday,0,3,Fried Rice,0,None,0,28.3,1.1,0,132,115
